molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL431634,COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1CC(=O)N2,6.05,899.5,nM
CHEMBL99803,O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,6.52,299.92,nM
CHEMBL116832,O=C1Cc2c([nH]c3ccccc23)-c2cc(I)ccc2N1,6.6,250.03,nM
CHEMBL120355,Nc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,4.92,11994.99,nM
CHEMBL331783,O=C1Cc2c([nH]c3ncccc23)-c2ccccc2N1,5.26,5495.41,nM
CHEMBL334031,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2sccc2N1,6.4,399.94,nM
CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,5.7,1999.86,nM
CHEMBL317150,CCc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,6.16,699.84,nM
CHEMBL120941,NCC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,4.39,41020.41,nM
CHEMBL120078,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cccnc2N1,5.28,5296.63,nM
CHEMBL329505,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1,7.52,29.99,nM
CHEMBL316512,O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ccccc2N1,5.3,5000.35,nM
CHEMBL331502,SC1=Nc2ccccc2-c2cc(-c3ccccn3)cc(-c3cccs3)c2C1,3.4559999963120847,349945.17,nM
CHEMBL333894,CC(=O)Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,7.05,89.95,nM
CHEMBL50894,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,8.29,3.999,nM
CHEMBL318911,O=C1Cc2c([nH]c3c(Br)cccc23)-c2ccccc2N1,6.22,599.79,nM
CHEMBL317562,CC(C)(C)OC(=O)N1C(=O)Cc2c(n(C(=O)OC(C)(C)C)c3ccc(Br)cc23)-c2ccccc21,3.1939999969333215,639734.84,nM
CHEMBL299756,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,8.0,10.0,nM
CHEMBL98501,Cc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,6.3,500.03,nM
CHEMBL52551,SC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,5.7,1999.86,nM
CHEMBL328164,CSC1=Nc2ccccc2-c2[nH]c3ccc(Br)cc3c2C1,5.92,1199.5,nM
CHEMBL323657,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2sccc2N1,6.92,119.95,nM
CHEMBL95827,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,5.66,2197.86,nM
CHEMBL99423,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccccc12,3.853935985663043,139958.73,nM
CHEMBL333006,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2cc(Br)ccc2N1,6.7,199.99,nM
CHEMBL332359,COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C#N)cc12,6.89,130.02,nM
CHEMBL120497,O=[N+]([O-])c1ccc2[nH]c3c(c2c1)CC(S)=Nc1ccccc1-3,6.22,599.79,nM
CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,5.64,2301.44,nM
CHEMBL419054,N#C/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,6.4,399.94,nM
CHEMBL333066,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(I)ccc2N1,5.38,4197.59,nM
CHEMBL325654,COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2,7.75,17.99,nM
CHEMBL119989,CC(=O)/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,5.85,1399.59,nM
CHEMBL331759,Brc1ccc2[nH]c3c(c2c1)CCCc1ccccc1-3,3.7450000036524846,179887.09,nM
CHEMBL119932,N#Cc1ccc2c(c1)-c1[nH]c3ccccc3c1CC(=O)N2,5.89,1300.17,nM
CHEMBL119963,O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2sccc2N1,7.46,34.99,nM
CHEMBL328627,CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,5.82,1499.68,nM
CHEMBL330398,COc1cccc2c1NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,4.8,15995.58,nM
CHEMBL118406,Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,5.89,1300.17,nM
CHEMBL120664,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(C#CC3(O)CCCCC3)ccc2N1,5.7,1999.86,nM
CHEMBL118162,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccsc1-3,6.48,330.37,nM
CHEMBL26616,CCn1c(=S)n(C)s/c1=N\c1cccnc1,5.0,10000.0,nM
CHEMBL337300,O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12,8.05,9.0,nM
CHEMBL24537,Cn1sc(=O)n(-c2ccc(Cl)cc2)c1=O,5.4,4000.0,nM
CHEMBL26101,CCn1sc(=O)n(CC)c1=S,4.7,20000.0,nM
CHEMBL24311,CCn1sc(=O)n(Cc2ccccc2)c1=S,5.22,6000.0,nM
CHEMBL24753,Cc1ccc(-n2c(=O)sn(C)c2=O)cc1,5.3,5000.0,nM
CHEMBL284125,CCn1sc(=N)n(-c2ccccc2)c1=O,4.19,65000.0,nM
CHEMBL26218,CCn1c(=O)sn(C)c1=O,5.3,5000.0,nM
